Symbol	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
GSM2235787	11.51904503	10.20795559	6.217945045	7.729901326	5.932809178	7.869785919	10.00888875	7.866464349	9.033033118
GSM2235788	8.44683668	10.53784301	5.902575432	8.119784386	6.134547274	9.477674202	10.24426266	7.424715727	6.961047583
GSM2235789	7.734247388	9.869004039	5.961506812	7.635145696	5.918424587	7.686344597	10.00531941	7.431225452	8.441855074
GSM2235790	7.517096888	9.800139393	5.664930583	8.88046577	6.339435135	7.261386635	9.670993861	6.873722686	8.174307319
GSM2235791	11.24927017	11.09121984	5.898914634	9.799294168	5.890922265	8.471307556	10.73583687	8.381239298	8.885669635
GSM2235792	8.691684688	10.42498311	6.060461892	9.371748107	6.257548197	8.905973297	10.26853063	8.068923496	8.387249074
GSM2235793	11.90397108	11.01187079	6.038221777	9.868592956	6.041137124	8.655218738	10.52851919	8.573085331	8.629626167
GSM2235794	9.045961676	10.88228529	5.921643569	10.1248548	6.31437625	9.217179741	9.53814482	7.333942978	8.481040613
GSM2235795	11.00362615	9.443833261	5.756153667	9.541039152	5.988888177	9.218547191	9.821999669	7.52612576	9.315641274
GSM2235796	13.19670236	9.795223363	5.948614637	8.596885041	6.069002371	8.858152551	10.38250104	8.380928948	8.148971813
GSM2235797	7.583851695	9.803540273	5.829786583	7.651196261	5.710731238	7.653770022	9.791036072	6.427103964	8.604113185
GSM2235798	7.88667897	9.885679249	5.86617942	7.76741649	5.887834132	8.923984346	9.557865208	7.158617892	8.216674858
GSM2235799	8.603119454	8.519043488	5.840803465	7.645619208	6.120057135	7.955271388	9.990240545	6.739404651	9.288159646
GSM2235800	11.5648493	10.30250041	5.760202326	9.36846621	5.978564071	8.17285277	10.92258417	7.913800086	8.803705855
GSM2235801	11.30811931	9.726579659	5.947532246	8.252454683	5.564535107	7.922658266	10.09637621	8.126401103	9.230789194
GSM2235802	6.677464983	10.1386681	5.863252514	8.621485046	6.056585096	8.933558888	10.82644652	7.44846186	7.63465064
GSM2235803	9.884388726	9.877942037	6.075835279	8.17971043	5.969869065	7.435669213	10.20360463	7.206896726	8.049995157
GSM2235804	9.318920432	10.93002423	5.877451204	9.94679509	5.739866316	7.973355403	10.98162424	7.950765024	8.683065817
GSM2235805	9.069460465	11.10936077	6.03549443	9.32860399	5.790170146	7.683844376	11.32045615	8.32306901	9.539530504
GSM2235806	7.622448836	9.63878833	6.000763961	9.10257368	5.914389885	7.203581457	10.38887503	9.028672147	9.255679125
GSM2235807	9.077601004	10.634139	5.733940332	9.495981398	5.907516929	8.187814448	10.00979147	7.252451293	8.056963556
GSM2235808	7.559147003	9.922954582	5.985091406	7.950508434	5.843763812	7.710939627	9.994677506	6.121237741	9.064048119
GSM2235809	10.29853544	9.222334939	5.878067787	8.611562938	5.994085898	7.731735415	10.78487542	7.301994076	8.774732023
GSM2235810	7.012250903	9.006524361	6.227079512	8.508898886	5.892073487	8.12780329	9.777804095	6.853033927	8.126401103
GSM2235811	12.87464205	9.274718491	6.036972052	8.663956412	6.094219109	9.104259615	10.93068707	7.817403644	8.152417423
GSM2235812	11.08909325	9.761218122	5.993133192	8.463203542	6.01781004	8.695695963	9.977919673	7.178192189	8.559218345
GSM2235813	8.40307067	10.12026601	6.027110712	7.315065346	6.158261323	8.161825962	10.35196521	7.912710006	9.702838484
GSM2235814	11.25082131	9.55413981	6.191298084	9.005473532	6.048429013	8.535111236	10.70132614	7.763997058	8.28464505
GSM2235815	8.948852201	8.720612982	6.084153743	9.378837954	5.815940495	9.588892754	10.6089656	6.240695876	8.983117946
GSM2235816	9.411498842	9.652916499	5.85535586	7.955271388	5.987491028	7.671790525	10.33160004	7.244703246	8.634435856
GSM2235817	12.69666099	8.82040287	5.995422432	9.634046228	6.524872053	8.996803799	10.98855697	8.796083123	9.859284964
GSM2235818	10.37022324	8.758615747	6.025905407	8.372051888	6.05625032	8.626468374	9.709640944	6.797297082	9.321824009
GSM2235819	12.16151968	9.50441999	6.019654731	8.528267447	5.983275998	9.001140464	10.21608904	7.351336515	10.06308376
GSM2235820	12.36015337	9.717190484	5.981845104	8.628968095	6.071857168	8.560757576	10.8174865	8.073587417	8.88046577
GSM2235821	10.21998467	9.230051728	5.965427962	7.841252101	6.37594499	8.455845173	10.34023436	7.014097767	8.452249857
GSM2235822	9.919506663	9.699942761	6.06644051	9.882275978	6.018280831	8.989778145	9.382818977	10.11112938	9.643539995
GSM2235823	12.35848142	10.29613901	6.213695395	8.951827254	6.164139269	7.906886051	11.12572234	8.376139767	9.432590841
GSM2235824	12.35685939	10.57041325	5.959415665	9.644333075	5.985637013	7.941461136	11.70338008	8.508898886	9.571113859
GSM2235825	12.89325821	10.14389437	5.795534636	8.773497781	6.00381671	9.016739932	10.01958211	7.982595072	9.177266723
GSM2235826	12.58629724	10.66907961	6.043859288	7.736530511	6.218537534	9.748084064	10.1386681	6.977721621	9.408024405
GSM2235827	11.90018076	10.43510188	6.093208549	9.325020701	6.112049726	8.035469519	11.63520324	8.745205588	9.393335697
GSM2235828	12.75233819	9.148811016	6.134208987	10.23553179	6.11109187	9.093555607	10.09084694	8.082350435	8.626781054
GSM2235829	6.413953544	7.987045144	6.291465989	8.151290056	6.097850496	8.622421629	10.2951575	6.492102405	8.264673699
GSM2235830	6.863356069	9.895646689	6.072362897	7.793071065	6.127271166	8.333075018	9.936600757	6.397599493	8.897475026
GSM2235831	10.04169465	9.140080509	6.038728355	11.26206329	5.821106483	8.95922078	10.57494633	7.537804478	8.513523724
GSM2235837	11.37221148	8.652340344	6.400944625	9.236148438	6.146877646	8.732379966	10.25944915	7.322120434	8.825105232
GSM2235838	9.121063333	9.964212052	6.132835415	8.961872845	5.913894005	6.707605235	11.21345765	8.559833871	9.296470369
GSM2235839	9.164502325	9.821169452	6.189848905	7.728384133	5.950676365	7.464363901	11.24025727	7.678450735	9.168460626
GSM2235840	9.766632264	9.520476032	6.180241912	10.19504393	6.169586218	9.436741613	9.541039152	6.363346705	9.15330209
GSM2235841	11.41674157	8.644915674	6.163897355	8.717460558	6.069713413	8.890759749	10.71177959	6.983431517	8.729713718
GSM2235842	13.04456234	9.658912221	6.10783403	10.58976671	5.748397186	8.989431958	10.57603462	8.720908517	10.11112938
GSM2235843	11.7836396	9.717583736	6.145596396	9.07186417	6.174625285	8.951174143	10.19504393	9.512396798	8.231106771
GSM2235844	6.955648506	9.161387347	6.212076229	8.102911794	6.10333789	9.098034819	10.37126486	6.299396381	8.104345973
GSM2235845	9.446520018	9.251408315	6.286507788	8.64588301	5.992637716	8.225712863	10.52424754	6.319546578	8.666196444
GSM2235846	13.9806626	8.593495456	5.974777727	9.976993305	6.052520257	8.21127677	10.92929695	7.240469487	8.817226158
